timestamp (ms);EMG_Quadriceps (raw);ECG_Isquiotibiais (raw);Angulo_Relativo (graus)
810;375;329;0.38
811;427;322;0.39
812;107;291;0.41
812;458;347;0.44
812;500;338;0.47
812;80;284;0.49
812;578;336;0.5
812;575;371;0.51
817;37;282;0.51
817;628;350;0.51
817;750;369;0.54
817;31;304;0.57
817;720;354;0.61
817;511;329;0.63
817;0;282;0.65
817;753;338;0.67
817;240;271;0.7
817;2;294;0.72
817;733;347;0.76
817;259;290;0.78
817;5;297;0.79
825;871;363;0.78
825;336;335;0.77
825;0;281;0.77
825;729;331;0.77
825;533;334;0.79
825;0;289;0.8
825;640;305;0.79
825;144;273;0.78
825;0;286;0.78
825;656;320;0.79
825;65;273;0.81
825;0;295;0.82
833;880;345;0.84
833;150;305;0.84
833;59;305;0.84
835;577;324;0.84
835;177;305;0.83
835;160;286;0.82
837;692;325;0.81
837;706;343;0.78
837;0;294;0.74
837;560;321;0.73
837;196;298;0.72
837;20;293;0.71
841;657;322;0.7
841;181;305;0.67
841;80;307;0.64
841;409;299;0.62
841;114;307;0.6
841;70;298;0.6
841;576;323;0.58
841;240;317;0.53
841;0;290;0.49
841;579;320;0.45
841;0;297;0.43
841;128;304;0.44
841;587;320;0.47
850;0;304;0.53
850;55;304;0.58
852;458;316;0.61
852;43;302;0.61
852;176;307;0.57
854;419;313;0.52
854;0;293;0.47
854;28;298;0.4
854;481;307;0.35
856;0;288;0.33
856;57;304;0.33
856;304;293;0.3
858;0;293;0.22
858;52;297;0.13
858;384;303;0.07
860;0;295;0.03
860;38;305;0.02
860;413;304;0.02
862;0;290;0.04
862;195;325;0.08
1374;482;305;0.13
1375;0;298;0.16
1375;392;341;0.13
1375;445;317;0.06
1375;0;301;0.03
1375;367;344;0.13
1375;435;323;0.18
1378;6;298;0.17
1378;357;339;0.15
1378;738;338;0.14
1378;48;307;0.08
1378;462;350;0.01
1378;554;303;0.14
1378;145;305;0.3
1378;95;311;0.5
1378;387;272;0.63
1378;0;289;0.58
1382;507;361;0.41
1382;368;282;0.24
1382;0;294;0.11
1383;698;386;0.02
1383;482;333;0.0
1383;165;317;0.02
1383;639;355;0.02
1383;612;330;0.01
1383;0;295;0.02
1383;453;326;0.09
1383;345;272;0.19
1383;101;304;0.29
1387;454;331;0.41
1387;42;261;0.56
1387;282;334;0.68
1388;325;325;0.81
1388;567;318;0.89
1388;80;311;0.89
1388;527;342;0.81
1390;351;313;0.67
1390;131;313;0.58
1390;493;346;0.53
1391;436;304;0.44
1391;113;305;0.39
1391;464;319;0.42
1391;336;297;0.47
1391;199;304;0.56
1394;339;311;0.66
1394;333;304;0.77
1394;199;317;0.9
1418;451;320;1.0
1418;162;295;1.11
1420;324;323;1.2
1849;445;318;1.23
1849;251;296;1.21
1854;144;304;1.24
1855;449;335;1.3
1855;235;298;1.42
1857;85;292;1.54
1857;464;324;1.63
1857;166;288;1.69
1859;123;304;1.75
1861;571;342;1.85
1862;149;283;1.98
1863;224;309;2.1
1863;573;333;2.18
1865;11;282;2.24
1865;179;311;2.3
1866;336;320;2.39
1866;210;304;2.49
1866;80;293;2.57
1866;369;320;2.63
1866;117;288;2.63
1866;110;317;2.63
1866;355;321;2.67
1871;161;287;2.76
1871;10;301;2.82
1871;432;321;2.82
1873;333;291;2.76
1873;322;335;2.73
1873;370;318;2.72
1873;111;290;2.67
1873;367;332;2.59
1877;630;346;2.49
1879;5;273;2.37
1879;448;334;2.23
1879;195;323;2.09
1879;23;281;2.0
1881;485;343;1.95
1881;377;351;1.94
1884;0;283;1.95
1884;466;344;1.94
1885;503;353;1.93
1885;12;278;1.92
2243;593;354;1.95
2250;256;346;2.01
2250;0;286;2.04
2250;682;353;2.03
2253;554;346;1.96
2253;0;283;1.87
2253;640;339;1.8
2253;187;286;1.74
2255;51;295;1.67
2255;562;325;1.57
2255;167;272;1.41
2255;46;303;1.25
2258;740;338;1.14
2258;240;291;1.08
2259;28;290;1.03
2260;835;361;0.98
2260;468;347;0.94
2261;27;288;0.93
2263;758;348;0.94
2263;425;341;0.94
2263;49;302;0.9
2263;699;311;0.86
2263;281;288;0.83
2263;0;280;0.82
2263;614;315;0.85
2267;36;272;0.86
2267;0;294;0.86
2267;783;331;0.8
2267;101;291;0.71
2267;80;304;0.61
2267;505;316;0.53
2267;291;317;0.48
2272;0;281;0.43
2272;511;307;0.41
2272;452;330;0.41
2318;66;304;0.42
2318;624;320;0.44
2318;32;280;0.46
2320;0;290;0.47
2366;667;329;0.48
2368;130;298;0.48
2368;42;297;0.48
2368;656;320;0.48
2370;211;307;0.49
2417;33;295;0.48
2417;721;322;0.47
2421;208;304;0.45
2421;41;299;0.45
2475;580;305;0.45
2475;50;297;0.46
2475;49;295;0.48
2475;466;306;0.52
2475;0;293;0.55
2475;0;288;0.53
2535;656;325;0.5
2535;0;300;0.48
2535;64;294;0.48
2535;528;313;0.47
2535;0;293;0.49
2593;333;334;0.51
2594;612;313;0.51
2594;0;291;0.5
2596;113;305;0.47
2596;275;289;0.44
2651;0;293;0.43
2651;149;313;0.43
2651;578;307;0.42
2651;66;275;0.42
2651;146;314;0.41
2651;710;313;0.41
2719;128;304;0.42
2721;240;326;0.41
2721;452;310;0.4
2721;0;289;0.4
2721;145;335;0.41
2721;412;304;0.43
2786;0;294;0.44
2786;154;335;0.45
2786;531;327;0.45
2789;1;295;0.44
2789;498;354;0.45
2789;644;352;0.45
2853;0;279;0.46
2853;471;348;0.48
2853;947;342;0.49
2853;112;320;0.5
2853;407;346;0.51
2920;736;311;0.52
2920;0;291;0.55
2920;288;317;0.58
2920;245;249;0.58
2920;0;295;0.57
2920;509;361;0.57
2920;395;286;0.58
2976;5;301;0.59
2976;747;389;0.59
2976;491;327;0.59
2976;17;303;0.6
2976;562;353;0.61
3033;456;319;0.63
3033;161;319;0.64
3034;643;336;0.66
3034;358;277;0.66
3036;118;309;0.68
3093;353;330;0.7
3095;249;262;0.71
3095;82;299;0.71
3095;432;319;0.71
3095;291;282;0.7
3148;151;320;0.69
3148;529;336;0.68
3148;372;310;0.68
3148;206;309;0.7
3148;477;329;0.73
3213;247;303;0.77
3213;127;309;0.81
3213;437;343;0.83
3217;256;296;0.83
3217;198;306;0.81
3217;578;335;0.79
3273;305;287;0.79
3273;150;311;0.78
3273;358;318;0.77
3275;312;304;0.78
3275;146;306;0.79
3329;458;318;0.78
3329;212;312;0.76
3329;160;304;0.73
3329;548;336;0.71
3329;333;304;0.7
3391;176;308;0.7
3391;816;368;0.7
3392;322;305;0.7
3392;251;317;0.69
3395;622;336;0.69
3395;165;287;0.7
3455;139;306;0.71
3455;440;333;0.73
3455;189;286;0.75
3455;121;297;0.77
3455;480;321;0.77
3459;390;309;0.75
3514;231;307;0.73
3514;474;320;0.71
3514;110;289;0.69
3516;158;304;0.68
3516;471;335;0.68
3707;42;272;0.68
3709;417;346;0.68
3712;279;316;0.67
3714;16;272;0.67
3715;490;338;0.67
3717;430;332;0.67
3719;237;300;0.69
3722;542;347;0.7
3724;375;321;0.71
3724;54;279;0.72
3728;603;353;0.73
3730;443;349;0.76
