timestamp (ms);EMG_Quadriceps (raw);ECG_Isquiotibiais (raw);Angulo_Relativo (graus)
636;816;326;7.85
638;397;279;7.86
638;99;291;7.86
638;670;310;7.88
640;693;378;7.9
640;169;288;7.93
640;769;336;7.97
642;1200;462;8.01
642;112;273;8.05
644;849;336;8.08
644;1042;369;8.09
644;109;304;8.09
646;699;320;8.1
646;208;257;8.12
648;309;327;8.15
648;709;327;8.19
648;121;257;8.23
650;257;304;8.28
650;866;369;8.31
650;305;346;8.36
650;41;264;8.39
650;1105;405;8.41
650;663;399;8.41
654;60;293;8.42
654;1477;448;8.43
654;397;311;8.44
654;403;373;8.46
654;1486;421;8.49
654;272;308;8.52
654;798;418;8.56
654;1637;427;8.59
654;325;328;8.61
654;704;367;8.62
654;1610;412;8.64
654;176;294;8.64
654;304;275;8.65
662;1557;409;8.66
662;101;289;8.66
662;103;288;8.67
662;2119;481;8.67
662;48;300;8.66
662;695;373;8.65
662;1823;358;8.65
667;475;400;8.65
667;407;328;8.66
667;1005;239;8.66
667;692;371;8.66
670;677;371;8.65
671;1168;352;8.66
671;417;309;8.67
671;820;384;8.66
671;1466;432;8.64
671;80;273;8.62
671;654;362;8.62
671;1634;401;8.62
671;274;333;8.63
671;880;359;8.63
671;880;226;8.62
671;496;378;8.6
671;759;352;8.59
678;197;181;8.58
1206;618;366;8.57
1214;654;320;8.55
1215;209;274;8.54
1217;240;279;8.51
1218;709;351;8.49
1218;667;391;8.47
1218;34;265;8.48
1218;603;330;8.5
1218;751;333;8.53
1218;305;350;8.54
1222;611;320;8.56
1222;288;275;8.58
1222;643;396;8.6
1222;539;314;8.64
1222;240;276;8.67
1222;664;370;8.69
1222;674;350;8.72
1222;215;293;8.75
1222;391;309;8.77
1222;836;401;8.79
1222;503;359;8.81
1222;192;302;8.82
1230;1171;451;8.84
1232;606;332;8.85
1232;570;379;8.88
1234;1341;448;8.9
1234;205;245;8.91
1234;899;430;8.92
1236;1328;445;8.94
1236;67;243;8.96
1238;913;394;8.97
1238;1382;442;8.98
1238;33;276;8.99
1240;766;334;8.99
1240;1331;432;9.0
1240;103;295;8.99
1240;215;272;9.0
1240;1705;528;9.01
1240;252;304;9.02
1240;944;406;9.03
1240;1824;449;9.04
1246;105;299;9.04
1246;630;352;9.05
1248;971;320;9.06
1248;428;337;9.07
1248;807;370;9.06
1248;949;327;9.05
1253;286;303;9.03
1253;1101;399;9.03
1253;1247;425;9.03
1255;146;268;9.03
1295;944;376;9.04
1295;1605;491;9.04
1295;119;284;9.04
1297;1039;368;9.02
1829;1606;433;9.03
1829;32;288;9.04
1829;907;356;9.05
1829;709;262;9.05
1832;331;336;9.06
1832;930;331;9.06
1832;522;268;9.06
1832;210;293;9.08
1835;786;332;9.09
1836;559;362;9.11
1836;98;287;9.14
1838;599;320;9.16
1838;998;441;9.19
1838;157;288;9.2
1838;671;320;9.21
1838;773;368;9.21
1838;102;295;9.21
1838;511;310;9.2
1838;240;266;9.19
1843;284;335;9.19
1843;627;319;9.2
1843;230;286;9.21
1843;349;321;9.21
1843;592;336;9.22
1843;151;291;9.24
1843;176;285;9.25
