timestamp (ms);EMG_Quadriceps (raw);ECG_Isquiotibiais (raw);Angulo_Relativo (graus)
835;112;175;16.0
835;48;1735;15.82
837;0;3419;15.59
837;64;479;15.32
837;129;1827;15.08
837;114;3682;14.87
843;0;495;14.71
843;251;1642;14.67
843;0;3531;14.78
848;92;537;14.98
848;351;1535;15.2
848;0;3679;15.39
848;140;376;15.54
852;176;1626;15.65
853;0;3919;15.73
853;86;720;15.78
853;177;1360;15.83
853;163;3533;15.86
853;80;496;15.89
853;112;1419;15.9
860;87;3533;15.91
861;223;848;15.93
861;0;1487;16.0
863;99;4095;16.15
863;95;844;16.35
863;39;1389;16.53
863;155;4040;16.67
868;128;811;16.77
868;34;1136;16.83
868;214;4057;16.9
868;117;822;17.01
868;65;1108;17.16
868;270;3825;17.33
868;60;1098;17.51
875;48;1186;17.68
875;138;4095;17.83
875;195;1061;17.91
875;48;877;17.95
875;163;3673;17.99
875;112;911;18.01
875;199;657;18.02
875;102;3379;18.04
875;177;934;18.08
875;1;678;18.14
875;143;3914;18.21
884;97;1263;18.25
884;16;777;18.27
885;142;3611;18.26
885;115;1355;18.24
885;14;731;18.24
885;192;3909;18.28
885;122;1359;18.31
885;0;496;18.37
885;79;3567;18.45
885;131;1170;18.54
885;0;347;18.69
885;81;3406;18.86
892;151;1172;19.03
892;14;298;19.19
892;262;3650;19.33
892;147;1495;19.43
892;6;393;19.47
892;336;3597;19.47
892;209;1645;19.46
892;0;315;19.48
892;257;3650;19.53
892;0;1489;19.56
892;242;368;19.56
892;285;3469;19.53
900;129;1535;19.51
900;0;208;19.48
902;406;3710;19.46
902;64;1739;19.44
902;103;475;19.45
902;511;3618;19.48
902;67;1878;19.52
902;0;259;19.6
902;287;3605;19.69
902;149;1955;19.77
902;0;259;19.82
902;429;3555;19.83
1385;28;2005;19.82
1385;47;373;19.77
1385;288;3520;19.72
1385;61;2042;19.68
1391;172;320;19.67
1391;551;3459;19.66
1391;47;2041;19.66
1391;0;138;19.7
1391;251;3315;19.74
1391;54;2099;19.79
1391;109;303;19.84
1391;238;3360;19.91
1391;0;2266;19.98
1391;3;323;20.06
1391;602;3421;20.11
1391;23;2382;20.12
1391;102;226;20.15
1399;455;3103;20.2
1399;38;2203;20.26
1401;192;113;20.33
1401;256;3026;20.37
1401;13;2343;20.39
1401;102;192;20.38
1401;272;3107;20.37
1401;32;2416;20.35
1401;181;141;20.32
1401;334;2995;20.32
1401;0;2650;20.31
1401;169;131;20.29
1407;257;2963;20.25
1407;0;2446;20.22
1407;7;272;20.2
