timestamp (ms);EMG_Quadriceps (raw);ECG_Isquiotibiais (raw);Angulo_Relativo (graus)
804;640;2750;5.28
804;129;2147;5.26
806;961;454;5.25
806;627;2800;5.25
806;189;2111;5.26
806;1018;254;5.27
806;668;2977;5.28
808;247;2399;5.27
808;1086;272;5.27
808;617;3031;5.26
808;288;2550;5.26
810;1106;441;5.26
810;565;2623;5.26
810;277;2462;5.25
810;1130;432;5.25
810;561;3186;5.22
810;253;2317;5.2
810;1130;222;5.19
810;528;2704;5.18
810;209;2512;5.18
810;1049;464;5.18
814;511;2729;5.18
814;233;2402;5.18
814;1014;378;5.17
814;471;2908;5.15
814;266;2605;5.14
814;990;315;5.14
814;473;2469;5.15
814;286;2559;5.16
814;1009;309;5.17
814;442;2414;5.19
814;326;2451;5.21
814;1040;144;5.22
814;395;2522;5.22
814;336;2697;5.22
814;1055;352;5.22
814;351;2687;5.22
814;375;2745;5.23
822;1041;368;5.24
822;319;2529;5.26
822;343;3038;5.28
824;1055;351;5.3
824;319;2469;5.31
824;397;2673;5.33
824;1071;336;5.34
824;245;2245;5.36
824;342;2482;5.37
824;1070;207;5.38
824;282;2608;5.39
824;388;2747;5.42
824;1020;435;5.44
824;258;2587;5.47
824;459;2675;5.47
824;1013;578;5.48
830;251;2366;5.49
830;432;2803;5.49
830;1035;627;5.48
830;251;2355;5.46
830;485;2359;5.46
830;997;313;5.45
830;223;2299;5.45
830;496;2659;5.44
830;993;454;5.44
830;223;2290;5.44
830;582;3053;5.44
830;952;240;5.44
830;208;1827;5.45
830;537;2807;5.46
830;973;431;5.47
830;192;2093;5.49
838;564;2960;5.49
838;950;422;5.48
840;195;1927;5.49
840;553;2690;5.5
840;966;285;5.49
1255;163;1849;5.48
1255;577;2739;5.47
1255;976;412;5.47
1255;99;1885;5.46
1257;619;3127;5.46
1257;958;542;5.46
1257;64;1934;5.44
1258;593;3055;5.44
1258;946;302;5.45
1258;26;1886;5.45
1258;637;3103;5.46
1258;931;777;5.47
1258;16;2415;5.49
1258;624;3568;5.5
1258;930;463;5.52
1258;0;1767;5.53
1261;668;2975;5.53
1261;906;358;5.54
1261;0;1671;5.54
1261;679;2848;5.54
1261;897;206;5.53
1261;0;1591;5.52
1261;659;2841;5.51
1261;877;325;5.51
1261;0;1594;5.52
1261;685;3056;5.51
1261;874;400;5.51
1261;0;1573;5.51
1261;687;3394;5.51
1261;860;615;5.52
1261;31;1712;5.5
1261;681;2945;5.49
1261;876;152;5.48
1261;64;1506;5.47
1261;720;3198;5.46
1261;848;415;5.46
1261;89;1471;5.45
1270;748;2915;5.45
1270;818;548;5.45
1289;112;1699;5.46
1289;761;3583;5.47
1550;831;857;5.47
1550;144;1776;5.47
1550;831;3475;5.48
1554;763;937;5.49
1554;161;1582;5.5
1554;878;3516;5.5
1557;779;675;5.5
1557;221;1438;5.51
1557;912;3136;5.52
1557;755;480;5.53
1557;272;1328;5.55
1557;930;3120;5.55
1559;750;747;5.56
1559;272;1499;5.56
1559;847;3191;5.56
1559;730;912;5.55
1559;192;1605;5.53
1559;791;3344;5.52
1559;775;1072;5.5
1559;269;1371;5.48
1559;754;3090;5.47
1559;715;649;5.46
1559;336;1535;5.46
1559;752;2946;5.47
1860;726;593;5.48
1864;373;1205;5.48
1864;807;3195;5.46
1864;751;960;5.44
1866;388;1189;5.42
1866;823;3003;5.41
1868;702;759;5.4
1868;449;1306;5.39
1868;895;2903;5.38
1868;663;668;5.38
1868;464;1039;5.41
1870;895;3021;5.42
1870;641;1166;5.42
1870;390;1074;5.42
1870;879;3267;5.41
1870;607;1046;5.4
1870;433;1133;5.39
1872;818;2997;5.38
1872;624;671;5.39
1872;402;877;5.4
1872;762;3023;5.41
1874;635;703;5.42
1874;418;1062;5.41
1874;784;2815;5.4
1874;592;830;5.39
1874;469;1299;5.38
1876;739;3536;5.36
1876;557;1392;5.35
1910;481;1386;5.36
1910;736;3474;5.38
1910;486;1375;5.4
1912;511;1419;5.41
1950;799;3369;5.43
1950;487;891;5.43
1950;531;1097;5.44
1985;822;3256;5.45
1985;453;1393;5.46
1985;599;821;5.46
2020;816;3243;5.47
2021;503;1023;5.47
2021;557;1091;5.47
2025;798;3447;5.46
2073;464;1043;5.44
2073;621;690;5.42
2073;791;3149;5.4
2076;405;1584;5.39
2132;612;848;5.37
2132;811;3088;5.37
2134;396;1051;5.36
2134;641;843;5.36
2136;807;3152;5.35
2136;373;1108;5.35
2188;640;659;5.35
2188;800;3216;5.35
2188;355;1664;5.35
2188;649;1159;5.35
2188;799;3338;5.34
2248;358;1333;5.32
2248;723;1000;5.3
2250;780;3449;5.3
2250;321;1521;5.29
2250;643;835;5.28
2303;810;3088;5.27
2303;331;1398;5.27
2305;698;1006;5.27
2306;782;3249;5.28
2306;322;1734;5.29
2360;691;874;5.3
2361;787;3482;5.31
2361;311;1728;5.32
2361;739;887;5.32
2361;752;3184;5.33
2410;282;1727;5.33
2410;743;837;5.34
2412;775;3092;5.35
2412;222;1759;5.35
2414;732;587;5.35
2466;752;3397;5.35
2466;191;1605;5.35
2466;761;511;5.36
2466;772;2883;5.36
2466;170;1412;5.36
2510;768;678;5.36
2510;729;3015;5.37
2510;124;1820;5.38
2557;790;605;5.4
2557;715;3158;5.42
2557;81;2074;5.43
2559;784;716;5.43
2559;739;2971;5.43
2600;68;1775;5.42
2600;815;455;5.42
2600;718;2773;5.42
2603;32;1423;5.41
2655;801;523;5.42
2655;709;2987;5.43
2655;12;1707;5.45
2655;832;419;5.46
2706;702;2893;5.47
2706;0;1644;5.47
2706;835;644;5.46
2709;691;3607;5.46
2709;0;2017;5.45
2768;855;678;5.43
2768;656;3229;5.42
2768;0;2255;5.39
2768;849;860;5.36
2771;655;3457;5.32
2771;0;2129;5.28
2835;880;885;5.24
2835;605;3360;5.22
2835;10;1989;5.19
2835;950;705;5.19
2835;626;3312;5.2
