timestamp (ms);EMG_Quadriceps (raw);ECG_Isquiotibiais (raw);Angulo_Relativo (graus)
919;75;350;9.86
919;67;338;9.85
919;218;353;9.83
919;90;350;9.83
921;62;336;9.85
922;213;354;9.88
922;95;352;9.9
922;63;337;9.9
922;211;352;9.9
922;94;353;9.91
922;54;338;9.92
922;221;353;9.93
922;96;367;9.93
927;52;340;9.93
927;192;353;9.93
927;101;351;9.93
929;51;341;9.94
929;210;355;9.94
929;108;353;9.95
929;49;339;9.96
929;211;353;9.97
931;101;351;9.98
931;51;339;9.99
931;208;356;10.0
931;103;352;10.02
931;48;337;10.04
931;205;351;10.04
931;103;350;10.05
935;47;336;10.06
935;202;352;10.06
935;109;353;10.05
937;48;339;10.05
937;205;353;10.05
937;112;351;10.05
939;48;336;10.05
939;209;351;10.06
939;115;354;10.09
939;48;339;10.11
941;205;352;10.12
941;115;353;10.12
941;48;331;10.12
943;204;355;10.1
943;112;353;10.08
944;43;341;10.06
944;201;352;10.05
944;113;355;10.03
944;42;340;10.01
944;205;350;10.02
944;118;352;10.02
944;38;339;10.04
944;199;352;10.05
944;125;352;10.07
944;43;351;10.08
944;202;352;10.09
944;122;355;10.08
944;44;339;10.08
951;201;353;10.09
952;119;351;10.1
952;37;339;10.1
952;197;354;10.1
952;128;357;10.1
952;32;337;10.09
952;198;355;10.1
952;129;353;10.1
957;41;340;10.1
957;191;355;10.1
957;115;354;10.1
957;43;343;10.1
957;194;354;10.11
960;157;367;10.13
960;37;337;10.14
960;194;358;10.16
962;140;357;10.17
962;38;349;10.16
963;208;352;10.16
963;155;358;10.16
963;64;351;10.15
963;190;351;10.14
963;159;358;10.13
963;48;342;10.14
963;187;347;10.13
963;159;357;10.13
968;48;343;10.16
969;182;349;10.18
969;166;356;10.2
971;47;343;10.22
971;194;350;10.24
1412;176;359;10.25
1419;46;343;10.26
1419;169;347;10.27
1420;177;361;10.26
1421;49;347;10.26
1421;173;347;10.26
1421;182;359;10.26
1421;48;344;10.25
1421;173;346;10.25
1421;188;359;10.25
1421;50;351;10.25
1421;143;346;10.26
1421;190;358;10.27
1428;60;347;10.3
1428;157;346;10.31
1429;198;359;10.32
1429;64;349;10.33
1430;165;343;10.32
1430;209;362;10.33
1430;60;348;10.34
1430;156;346;10.35
1432;207;361;10.36
1432;61;341;10.36
1432;145;347;10.35
1434;211;361;10.35
1434;59;343;10.35
1434;142;352;10.35
1434;211;366;10.35
1434;80;352;10.34
1434;155;341;10.34
1437;213;357;10.34
1437;62;353;10.35
1437;134;346;10.35
1437;219;358;10.34
1437;66;345;10.33
1440;130;345;10.33
1440;224;363;10.33
1442;66;347;10.31
1442;123;342;10.31
1442;233;361;10.31
1442;66;346;10.3
1442;112;341;10.3
1476;226;358;10.29
1478;74;351;10.29
1478;112;342;10.28
1854;228;359;10.29
1855;71;349;10.31
1857;109;342;10.32
1857;234;359;10.31
1857;74;348;10.3
1859;112;341;10.28
1859;240;358;10.26
1861;80;350;10.23
1861;112;342;10.21
1863;240;362;10.18
1864;71;347;10.15
1864;107;341;10.14
1865;235;358;10.14
1865;68;347;10.14
1865;82;336;10.12
1867;240;356;10.1
1867;74;349;10.08
1868;71;335;10.06
1868;237;353;10.04
1868;78;345;10.01
1868;69;337;9.99
1868;230;361;9.98
1868;81;347;9.96
1868;69;339;9.95
1868;237;353;9.95
1872;83;352;9.96
1873;90;340;9.97
1873;240;355;9.98
1873;89;352;9.99
1875;63;339;10.0
1875;230;357;10.0
1876;89;354;10.0
1876;55;336;10.0
1876;228;355;10.0
1876;94;352;10.0
1876;52;337;10.0
2186;199;352;10.0
2186;93;350;9.99
2186;48;344;9.99
2186;208;354;9.98
2186;93;352;10.0
2188;45;337;10.02
2188;206;351;10.05
2188;94;351;10.07
2188;61;341;10.09
2188;185;347;10.1
2190;99;351;10.11
2190;48;339;10.11
2191;177;353;10.1
2191;101;351;10.1
2191;48;339;10.08
2193;178;350;10.08
2193;96;338;10.08
2193;44;337;10.08
2193;176;352;10.07
2193;98;351;10.05
2193;43;342;10.04
2195;176;349;10.02
2195;96;351;10.0
2195;37;338;9.97
2195;176;349;9.95
2195;112;355;9.93
2195;42;337;9.9
2197;185;347;9.89
2197;111;350;9.89
2231;47;339;9.9
2231;183;351;9.89
2231;112;355;9.89
2267;48;341;9.89
2267;192;353;9.9
2267;112;352;9.9
2305;53;337;9.91
2305;169;354;9.9
2305;122;351;9.91
