timestamp (ms);EMG_Quadriceps (raw);ECG_Isquiotibiais (raw);Angulo_Relativo (graus)
612;688;339;103.51
612;0;308;103.49
614;189;331;103.47
614;731;345;103.45
614;112;320;103.43
616;240;327;103.42
616;337;319;103.41
616;38;323;103.4
616;380;352;103.4
620;585;333;103.39
620;0;316;103.4
620;208;333;103.4
622;787;359;103.41
622;0;309;103.43
623;306;336;103.46
623;443;329;103.5
623;47;330;103.55
623;430;348;103.6
623;317;304;103.65
628;91;315;103.7
628;103;317;103.75
630;526;336;103.8
630;122;334;103.86
630;297;323;103.91
630;661;339;103.95
630;170;323;103.99
630;157;317;104.02
630;449;326;104.04
630;304;336;104.07
636;159;326;104.1
638;561;333;104.13
638;153;340;104.16
638;391;352;104.18
638;467;333;104.18
638;149;343;104.19
638;433;353;104.19
638;493;320;104.21
638;116;317;104.22
645;209;349;104.24
645;308;306;104.24
647;384;354;104.22
647;354;341;104.2
647;362;315;104.18
647;144;336;104.15
647;279;347;104.13
647;208;319;104.13
647;217;336;104.12
647;459;352;104.11
653;719;368;104.11
653;268;352;104.11
655;343;359;104.1
655;629;358;104.1
655;542;377;104.09
655;462;368;104.09
655;630;368;104.08
655;528;361;104.07
655;531;394;104.06
655;701;344;104.06
662;218;323;104.06
662;624;389;104.07
1226;463;304;104.08
1226;279;323;104.08
1228;448;349;104.08
1228;421;270;104.08
1228;70;298;104.09
1228;599;373;104.1
1231;73;266;104.12
1231;122;299;104.14
1231;560;385;104.17
1231;67;282;104.19
1231;133;300;104.23
1231;494;368;104.27
1235;314;319;104.29
1236;77;319;104.31
1236;816;398;104.32
1238;417;368;104.32
1238;143;321;104.31
1238;913;391;104.3
1240;485;337;104.28
1240;106;331;104.26
1240;654;347;104.23
1242;259;298;104.2
1242;139;336;104.16
1243;649;349;104.13
1243;223;266;104.11
1243;175;335;104.1
1245;555;343;104.09
1245;194;287;104.09
1245;194;336;104.09
1247;250;333;104.1
1247;26;282;104.11
1247;399;350;104.13
1249;619;346;104.14
1249;110;316;104.16
1249;338;354;104.18
1249;346;341;104.2
1251;81;302;104.22
1253;311;333;104.24
